DATA;0001303652;TABLEAU SOFTWARE INC-CL A;Tableau Software Inc
DAVE;0001021270;FAMOUS DAVE'S OF AMERICA;Famous Dave's of America Inc
DBD;0000028823;DIEBOLD NIXDORF INC;Diebold Nixdorf Inc
DBTK;0001370314;DOUBLE-TAKE SOFTWARE INC;Double-Take Software Inc
DCGNQ;0001022974;DGI RESOLUTION INC;DGI Resolution Inc
DCI;0000029644;DONALDSON CO INC;Donaldson Co Inc
DCLK;0001049480;DOUBLECLICK INC;DoubleClick Inc
DCNAQ;0000026780;DANA CORP;Dana Corp
DCO;0000030305;DUCOMMUN INC;Ducommun Inc
DCOM;0001005409;DIME COMMUNITY BANCSHARES;Dime Community Bancshares Inc
DCT;0001170991;DCT INDUSTRIAL TRUST INC;DCT Industrial Trust Inc
DCTH;0000872912;DELCATH SYSTEMS INC;Delcath Systems Inc
DCTM;0000930885;DOCUMENTUM INC;Documentum Inc
DD;0000030554;DU PONT (E.I.) DE NEMOURS;EI du Pont de Nemours & Co
DDD;0000910638;3D SYSTEMS CORP;3D Systems Corp
DDDC;0001086740;DELTATHREE INC-CLASS A;deltathree Inc
DDDP;0000914201;3 DIMENSIONAL PHARMACEUTICAL;3-Dimensional Pharmaceuticals
DDE;0001162556;DOVER DOWNS GAMING & ENTERTA;Dover Downs Gaming & Entertain
DDIC;0001104252;VIASYSTEMS NORTH AMERICA INC;Viasystems North America Inc
DDICQ;0001104252;DDI CORP /CA;DDI Corp/Old
DDMGQ;0001490930;DIGITAL DOMAIN MEDIA GROUP I;Digital Domain Media Group Inc
DDMX;0001015483;DYNAMEX INC;Dynamex Inc
DDR;0000894315;DDR CORP;DDR Corp
DDRX;0000947661;DIEDRICH COFFEE INC;Diedrich Coffee Inc
DDS;0000028917;DILLARDS INC-CL A;Dillard's Inc
DDUP;0001391984;DATA DOMAIN INC;Data Domain Inc
DDXSQ;0001036968;DIADEXUS INC;diaDexus Inc
DE;0000315189;DEERE & CO;Deere & Co
DEA;0001622194;EASTERLY GOVERNMENT PROPERTI;Easterly Government Properties
DEBS;0000715779;DEB SHOPS INC;DEB Shops Inc
DECC;0001011737;D&E COMMUNICATIONS LLC;D&E Communications LLC
DECK;0000910521;DECKERS OUTDOOR CORP;Deckers Outdoor Corp
DEEPQ;0001372326;SUPERIOR OFFSHORE INTERNATIO;Superior Offshore Internationa
DEI;0001364250;DOUGLAS EMMETT INC;Douglas Emmett Inc
DEIX;0001323630;DEI HOLDINGS INC;DEI Holdings Inc
DEL;0001022469;DELTIC TIMBER CORP;Deltic Timber Corp
DELL;0000826083;DELL INC;Dell Inc
DENN;0000852772;DENNY'S CORP;Denny's Corp
DEPO;0001005201;DEPOMED INC;Depomed Inc
DERM;0001557883;DERMIRA INC;Dermira Inc
DESCQ;0001261482;DISTRIBUTED ENERGY SYSTEMS;Distributed Energy Systems Cor
DEST;0000896985;DESTINATION MATERNITY CORP;Destination Maternity Corp
DF;0000931336;DEAN FOODS CO;Dean Foods Co
DFBG;0000844143;DIFFERENTIAL BRANDS GROUP IN;Differential Brands Group Inc
DFCLQ;0001021848;DELTA FINANCIAL CORP;Delta Financial Corp
DFG;0000859139;DELPHI FINANCIAL GROUP-CL A;Delphi Financial Group Inc
DFIB;0000876188;CARDIAC SCIENCE INC;Cardiac Science Inc
DFIN;0001669811;DONNELLEY FINANCIAL SOLUTION;Donnelley Financial Solutions
DFRG;0001415301;DEL FRISCO'S RESTAURANT GROU;Del Frisco's Restaurant Group
DFS;0001393612;DISCOVER FINANCIAL SERVICES;Discover Financial Services
DFT;0001407739;DUPONT FABROS TECHNOLOGY;DuPont Fabros Technology Inc
DFZ;0000749872;BARRY (R.G.);RG Barry Corp
DG;0000029534;DOLLAR GENERAL CORP;Dollar General Corp
DGAS;0000277375;DELTA NATURAL GAS CO INC;Delta Natural Gas Co Inc
DGEN;0001034072;DELTAGEN INC;Deltagen Inc
DGI;0001208208;DIGITALGLOBE INC;DigitalGlobe Inc
DGICA;0000800457;DONEGAL GROUP INC-CL A;Donegal Group Inc
DGII;0000854775;DIGI INTERNATIONAL INC;Digi International Inc
DGIT;0000934448;DIGITAL GENERATION INC;Digital Generation Inc
DGX;0001022079;QUEST DIAGNOSTICS INC;Quest Diagnostics Inc
DHI;0000882184;DR HORTON INC;DR Horton Inc
DHIL;0000909108;DIAMOND HILL INVESTMENT GRP;Diamond Hill Investment Group
DHOM;0000917857;DOMINION HOMES INC;Dominion Homes Inc
DHR;0000313616;DANAHER CORP;Danaher Corp
DHT;0001331284;DHT HOLDINGS INC;DHT Holdings Inc
DHX;0001393883;DHI GROUP INC;DHI Group Inc
DIAN;0000779282;DIANON SYSTEMS INC;DIANON Systems Inc
